-450.714,648.003,-26.1766
177,-3.42673,10.339,2.59137
178,-10.7136,32.7863,1.36252
179,-10.8243,33.0718,5.76319
180,-3.89302,10.2768,2.64148
181,-9.85073,35.5475,1.8579
182,-12.5705,33.0743,12.1041
183,-10.8145,33.0764,9.1032
184,-18.7911,48.5603,1.94
185,-1.39163,5.88862,1.00091
186,-22.1245,50.3571,2.18552
187,-10.6674,32.9857,2.11292
188,-2.7611,8.75421,0.92767
189,-3.67259,12.5336,0.76612
190,-51.4204,131.049,3.30102
191,-13.9669,50.2237,2.53101
192,-3.30148,10.089,1.63077
193,-2.87153,10.1847,1.89075
194,-45.3606,101.349,3.85519
195,-10.7041,33.0791,2.88314
196,-3.3117,10.1472,2.0509
197,-2.45722,10.369,2.19093
198,-50.9417,129.837,6.48822
199,-23.426,83.0146,4.15513
200,-3.3602,10.2496,2.39114
201,-7.44287,23.5853,1.1714
202,-3.8149,10.1793,2.43123
203,-9.90979,36.1684,0.99924
204,-3.40878,10.3523,2.59138
205,-10.622,32.843,1.35259
206,-3.85014,10.2641,2.64143
207,-9.74936,35.6059,1.85797
208,-18.6359,48.6587,1.94013
209,-1.37367,5.90196,0.99093
210,-2.73155,8.75943,0.92767
211,-3.62334,12.5423,0.76611
212,-50.4649,130.009,3.29833
213,-13.7595,50.1994,2.53085
214,-3.28063,10.1435,1.63087
215,-2.82229,10.1934,1.89074
216,-45.5468,136.485,2.48945
217,-3.2723,10.1542,2.06089
218,-2.42768,10.3742,2.19092
219,-52.4471,135.023,6.62995
220,-23.0188,82.721,4.1443
221,-3.32603,10.2861,2.3912
222,-7.3606,23.5795,1.18135
223,-15.4623,36.0436,4.16186
224,-45.5295,136.39,5.77925
225,-3.79057,10.2141,2.44129
226,-9.43799,34.9925,1.06651
227,-10.5398,33.0099,1.3529
228,-3.82235,10.2791,2.64144
229,-9.62133,35.6285,1.85795
230,-12.2907,33.0425,12.0739
231,-18.4134,48.6067,1.9399
232,-1.36382,5.9037,0.99093
233,-15.3607,36.1568,2.43204
234,-15.8649,49.2403,1.65992
235,-2.7136,8.77276,0.92769
236,-3.58395,12.5493,0.76611
237,-49.8381,129.622,3.29719
238,-13.5747,50.1305,2.53061
239,-2.79275,10.1987,1.89074
240,-15.3487,36.1469,3.28202
241,-45.0857,136.577,2.48941
242,-3.26419,10.1658,2.05091
243,-2.39813,10.3794,2.19092
244,-51.9664,135.119,6.6299
245,-22.7106,82.6435,4.14398
246,-7.28706,23.6231,1.1714
247,-15.3447,36.1254,4.16197
248,-45.0788,136.54,5.77933
249,-3.74945,10.2112,2.43126
250,-9.38068,35.1854,1.05689
251,-11.9636,37.5622,1.11325
252,-3.79454,10.2942,2.64146
253,-9.50492,35.6593,1.85796
254,-11.9176,32.3676,11.8623
255,-18.2797,48.7116,1.94005
256,-1.34413,5.90718,0.99093
257,-20.9431,49.0731,2.2122
258,-15.6435,49.1373,1.65959
259,-2.68405,8.77798,0.92768
260,-2.76528,10.2151,1.25076
261,-49.7403,130.736,3.29949
262,-13.3992,50.1716,2.53061
263,-3.19662,10.1279,1.6308
264,-2.76321,10.2039,1.89073
265,-45.8961,105.357,3.88393
266,-44.5782,136.636,2.48927
267,-3.21147,10.1548,2.06086
268,-2.36859,10.3846,2.19091
269,-51.496,135.273,6.61998
270,-22.3004,82.2183,4.14287
271,-7.22508,23.6746,1.17148
272,-44.9667,103.26,6.45903
273,-44.5934,136.667,5.77935
274,-3.73845,10.2639,2.43137
275,-9.2289,35.131,1.0667
276,-3.4726,10.8285,2.57242
277,-14.2297,44.8702,0.72984
278,-3.75515,10.3011,2.65146
279,-9.36646,35.6228,1.85781
280,-11.6882,32.1037,11.7716
281,-18.2525,49.1327,1.93093
282,-1.34586,5.91702,0.99095
283,-20.8081,49.2289,2.21246
284,-15.4576,49.1193,1.66945
285,-2.65625,8.79305,0.9277
286,-2.734,10.2104,1.25073
287,-49.19,130.609,3.29894
288,-13.2747,50.3866,2.531
289,-3.17345,10.1116,1.64075
290,-2.73192,10.1992,1.90071
291,-45.9397,106.466,3.89629
292,-44.0893,136.742,2.48924
293,-3.18368,10.1698,2.06088
294,-2.34079,10.3997,2.19093
295,-50.9955,135.371,6.61993
296,-21.9487,82.0672,4.13237
297,-7.01151,20.1672,1.67397
298,-7.17354,23.7852,1.16169
299,-44.6001,103.427,6.45919
300,-44.0975,136.734,5.76923
301,-3.68863,10.2118,2.43123
302,-9.07651,35.0157,1.07638
303,-3.519,11.0336,2.56288
304,-14.1347,45.08,0.72024
305,-3.73545,10.3046,2.65145
306,-9.25177,35.6634,1.85784
307,-11.391,31.6285,11.6204
308,-17.964,48.879,1.94024
309,-1.30382,5.92491,0.99091
310,-20.5368,49.0337,2.22163
311,-15.4193,49.5532,1.65012
312,-2.62403,8.79921,0.92764
313,-2.69365,10.2282,1.25069
314,-50.5327,135.532,3.30936
315,-13.1157,50.4253,2.5308
316,-3.12502,10.141,1.63073
317,-2.6881,10.1973,1.90063
318,-45.4494,106.3,3.89511
319,-43.6295,136.865,2.48866
320,-3.1416,10.1777,2.06082
321,-2.29698,10.3977,2.19085
322,-50.5091,135.458,6.6192
323,-22.2817,84.3749,4.16708
324,-3.43646,10.9273,2.34255
325,-7.09889,23.8395,1.16165
326,-44.2594,103.589,6.45879
327,-43.6145,136.84,5.76861
328,-3.65177,10.2493,2.43123
329,-8.96758,35.1065,1.06637
330,-3.56154,11.2906,2.55338
331,-13.9979,45.1859,0.71019
332,-3.69338,10.3125,2.65138
333,-9.14631,35.7739,1.85787
334,-11.5214,32.3265,11.8118
335,-17.7228,48.7394,1.94958
336,-1.29398,5.92665,0.99091
337,-20.1834,48.7001,2.22075
338,-15.3556,49.9402,1.64091
339,-2.59622,8.81428,0.92766
340,-50.0119,135.573,3.30918
341,-12.9339,50.488,2.53084
342,-3.09546,10.1462,1.64073
343,-2.66031,10.2123,1.90065
344,-45.0491,106.391,3.89509
345,-3.11032,10.1731,2.06079
346,-2.26744,10.403,2.19085
347,-50.0068,135.547,6.61913
348,-21.8675,84.0419,4.16617
349,-3.47996,11.1735,2.32309
350,-7.04911,23.9601,1.15188
351,-44.0538,104.092,6.46975
352,-25.9081,83.0021,4.65603
353,-3.61064,10.2464,2.4312
354,-8.83085,35.0798,1.07624
355,-3.62822,11.553,2.54397
356,-13.8438,45.2334,0.71021
357,-9.04033,35.8638,1.848
358,-11.1113,31.5566,11.58
359,-17.6434,49.0377,1.94017
360,-1.27603,5.93998,0.99093
361,-20.0316,48.8183,2.22092
362,-15.1818,49.9911,1.64093
363,-2.58812,8.82586,0.92768
364,-49.505,135.693,3.30918
365,-3.06592,10.1514,1.64072
366,-2.63076,10.2176,1.90064
367,-44.9387,107.202,3.89675
368,-22.4082,72.962,2.73306
369,-3.06918,10.1702,2.06076
370,-2.22979,10.4198,2.19087
371,-49.4832,135.629,6.61904
372,-22.7384,88.5694,4.22616
373,-3.53505,11.4278,2.31365
374,-3.1952,11.9757,2.15464
375,-43.7781,104.486,6.48044
376,-25.2568,81.9595,4.6335
377,-3.59965,10.2991,2.43131
378,-8.01464,32.4718,1.23033
379,-25.3323,82.216,6.60408
380,-13.7153,45.3679,0.71043
381,-8.90535,35.847,1.8579
382,-11.0215,31.6232,11.5901
383,-17.6064,49.4607,1.93104
384,-1.26618,5.94172,0.99093
385,-19.8642,48.8479,2.2209
386,-14.9913,50.0045,1.64086
387,-2.54873,8.83282,0.92768
388,-2.60676,10.2537,1.2507
389,-49.0157,135.74,3.30903
390,-12.5875,50.539,2.53077
391,-3.03464,10.1468,1.6407
392,-2.60122,10.2228,1.90064
393,-53.308,127.962,4.0748
394,-37.1784,121.158,2.55225
395,-3.06282,10.1916,2.06081
396,-2.20024,10.425,2.19086
397,-48.9989,135.704,6.60895
398,-22.7966,89.9908,4.24919
399,-3.60869,11.7296,2.28433
400,-48.4083,116.382,6.87789
401,-25.2495,82.895,4.65547
402,-8.63394,35.2873,1.06658
403,-25.7439,84.4889,6.70909
404,-13.629,45.6268,0.70093
405,-3.59491,10.3299,2.65137
406,-8.75645,35.7514,1.85762
407,-10.9254,31.7114,11.6002
408,-17.4408,49.5,1.93104
409,-1.25633,5.94345,0.99092
410,-19.778,49.1068,2.2214
411,-14.8389,50.062,1.6409
412,-2.53251,8.85599,0.92772
413,-2.58882,10.267,1.25072
414,-48.5285,135.856,3.30902
415,-12.4102,50.5703,2.53074
416,-3.0051,10.152,1.64069
417,-2.56993,10.2181,1.90061
418,-52.4672,127.227,4.07282
419,-3.0101,10.1807,2.06076
420,-2.1707,10.4302,2.19086
421,-48.5118,135.821,6.60895
422,-21.056,84.4493,4.16662
423,-3.10657,11.9913,2.15463
424,-48.3875,117.472,6.91018
425,-24.5262,81.5605,4.62229
426,-8.53085,35.336,1.06663
427,-25.3808,84.3296,6.68857
428,-16.1101,46.3355,0.90369
429,-13.4935,45.7219,0.70106
430,-21.1609,70.6196,9.0375
431,-3.54567,10.3386,2.65136
432,-8.67597,35.9281,1.84795
433,-10.78,31.6356,11.57
434,-17.2636,49.5314,1.93102
435,-1.24648,5.94518,1.00092
436,-19.6431,49.2627,2.22166
437,-14.6518,50.095,1.65088
438,-2.50297,8.86121,0.92771
439,-2.55753,10.2624,1.2507
440,-48.0565,136,3.30909
441,-17.3822,71.0684,2.32652
442,-2.96744,10.1688,1.64071
443,-2.5288,10.2153,1.90058
444,-51.7656,126.762,4.06149
445,-35.8225,119.691,2.55846
446,-2.98056,10.1859,2.06075
447,-2.15274,10.4435,2.19088
448,-48.038,135.956,6.60899
449,-22.3559,90.8303,4.25074
450,-47.9259,117.503,6.90001
451,-24.3305,81.8896,4.63288
452,-3.48089,10.2591,2.44116
453,-8.5269,35.7735,1.03755
454,-24.464,82.3593,6.60394
455,-15.9763,46.4404,0.90384
456,-13.3579,45.8169,0.69119
457,-11.1706,33.0385,7.13314
458,-20.8961,70.6156,9.01736
459,-3.51438,10.334,2.65134
460,-8.67433,36.4361,1.83903
461,-10.7255,31.7872,11.6103
462,-17.0863,49.5627,1.93099
463,-1.21694,5.95042,0.99092
464,-19.5197,49.4266,2.22194
465,-14.4879,50.1443,1.6509
466,-2.48327,8.8647,0.92771
467,-2.51988,10.2792,1.25071
468,-16.643,48.8362,3.10924
469,-17.1378,71.1217,2.3265
470,-2.93616,10.1642,1.64068
471,-2.501,10.2303,1.9006
472,-51.2797,126.828,4.06138
473,-2.94928,10.1812,2.06073
474,-2.12146,10.4389,2.19085
475,-16.6053,48.7388,4.24902
476,-21.8222,90.0514,4.23882
477,-9.05062,27.4145,1.16018
478,-3.04748,12.0017,2.15462
479,-47.6526,117.967,6.91085
480,-24.4055,83.1761,4.66563
481,-3.43628,10.2365,2.44109
482,-24.1308,82.2556,6.59356
483,-15.8361,46.5667,0.89403
484,-10.0091,35.1963,1.25709
485,-3.48659,10.349,2.65136
486,-9.00433,38.2465,1.77301
487,-10.6207,31.8261,11.6003
488,-16.5862,48.6863,1.95889
489,-1.20883,5.962,0.99094
490,-19.445,49.6937,2.21247
491,-14.3089,50.1657,1.65085
492,-2.45547,8.87976,0.92773
493,-2.48859,10.2746,1.25069
494,-2.90836,10.1792,1.6407
495,-2.4732,10.2454,1.90062
496,-50.8186,126.92,4.06134
497,-2.90815,10.1783,2.0707
498,-2.08207,10.4459,2.19084
499,-17.9058,75.2981,4.03571
500,-7.65486,23.7103,1.43166
501,-3.00172,12.0301,2.15465
502,-51.7287,129.199,7.28662
503,-24.4347,84.3184,4.67806
504,-3.41021,10.2615,2.44113
505,-9.00373,38.8172,0.87421
506,-10.9098,32.998,4.98292
507,-23.8151,82.2505,6.59338
508,-9.79119,34.9403,1.26644
509,-10.8954,32.9755,7.12287
510,-3.46052,10.374,2.65139
511,-8.82877,38.115,1.78265
512,-10.4938,31.7978,11.5802
513,-1.18914,5.96548,0.99094
514,-19.4822,50.3066,2.20378
515,-14.1467,50.2248,1.6509
516,-2.42593,8.88498,0.92772
517,-2.46602,10.3192,1.25077
518,-10.7758,32.9853,3.07282
519,-11.7359,50.7199,2.53072
520,-2.87708,10.1746,1.64068
521,-2.44366,10.2506,1.90062
522,-50.4456,127.28,4.06191
523,-34.8671,121.008,2.55076
524,-2.88034,10.1934,2.07072
525,-2.05253,10.4511,2.19084
526,-10.8038,33.0294,3.82293
527,-17.6429,75.304,4.03559
528,-2.97218,12.0353,2.15465
529,-51.3771,129.566,7.28721
530,-23.7039,82.8837,4.64466
531,-3.39226,10.2748,2.44115
532,-9.46019,41.2858,0.72965
533,-10.7899,33.009,4.98288
534,-23.5806,82.4747,6.59374
535,-10.7256,32.8147,1.54243
536,-9.68634,34.9791,1.26646
537,-10.7888,33.0045,7.12287
538,-10.3519,31.7416,11.56
539,-10.7525,32.9098,2.31264
